#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,Continent,New Recovered
197,Namibia,16,0, ,0,14,2,0,6,0,2586,1020,2535319 ,Africa,0
198,Saint Kitts and Nevis,15,0, ,0,15,0,0,282,0,391,7356,53156 ,North America,0
199,Falkland Islands,13,0, ,0,13,0,0,3750,0,426,122873,3467 ,South America,0
2,Russia,308705,8764,2972 ,135,85392,220341,2300,2115,20,7578029,51930,145927463 ,Europe,-1417
20,Qatar,37097,1491,16 ,1,6600,30481,172,12902,6,170437,59279,2875180 ,Asia,-35
200,Turks and Caicos,12,0,1 ,0,10,1,0,310,26,109,2820,38655 ,North America,0
201,Vatican City,12,0, ,0,2,10,0,14981,0,0,0,801 ,Europe,0
202,Montserrat,11,0,1 ,0,10,0,0,2204,200,36,7212,4992 ,North America,0
203,Suriname,11,0,1 ,0,9,1,0,19,2,404,689,586020 ,South America,0
204,Greenland,11,0, ,0,11,0,0,194,0,1767,31132,56759 ,North America,0
205,Seychelles,11,0, ,0,11,0,0,112,0,0,0,98277 ,Africa,0
206,MS Zaandam,9,0,2 ,0,0,7,0,0,0,0,0, ,0,0
207,British Virgin Islands,8,0,1 ,0,6,1,0,265,33,167,5528,30208 ,North America,0
208,Papua New Guinea,8,0, ,0,8,0,0,0.9,0,2402,269,8926371 ,Australia/Oceania,0
209,Caribbean Netherlands,6,0, ,0,6,0,0,229,0,357,13629,26195 ,North America,0
21,Ecuador,34151,0,2839 ,0,3457,27855,221,1939,161,98171,5574,17610964 ,South America,0
210,St. Barth,6,0, ,0,6,0,0,608,0,0,0,9874 ,North America,0
211,Western Sahara,6,0, ,0,6,0,0,10,0,0,0,595503 ,Africa,0
212,Anguilla,3,0, ,0,3,0,0,200,0,0,0,14987 ,North America,0
213,Lesotho,1,0, ,0,0,1,0,0.5,0,0,0,2140282 ,Africa,0
214,Saint Pierre Miquelon,1,0, ,0,1,0,0,173,0,0,0,5797 ,North America,0
215,China,82965,5,4634 ,0,78244,87,9,58,3,0,0,1439323776 ,Asia,0
22,Belarus,32426,918,179 ,4,11415,20832,92,3431,19,387673,41025,9449669 ,Europe,-36
23,Sweden,31523,724,3831 ,88,4971,22721,352,3124,380,209900,20799,10092027 ,Europe,84
24,Switzerland,30658,40,1892 ,1,27800,966,55,3545,219,355393,41099,8647311 ,Europe,-44
25,Portugal,29660,228,1263 ,16,6452,21945,93,2908,124,674000,66079,10199983 ,Europe,11
26,Singapore,29364,570,22 ,0,11207,18135,11,5024,4,294414,50370,5845014 ,Asia,-16
27,Bangladesh,26738,1617,386 ,16,5207,21145,1,163,2,203852,1239,164497521 ,Asia,16
28,UAE,26004,941,233 ,6,11809,13962,1,2633,24,1600923,162098,9876291 ,Asia,-15
29,Ireland,24315,64,1571 ,10,21060,1684,54,4931,319,295626,59949,4931300 ,Europe,7
3,Spain,279524,721,27888 ,110,196958,54678,1152,5979,596,3037840,64977,46752753 ,Europe,-5
30,Poland,19739,471,962 ,14,8183,10594,160,521,25,674861,17829,37851214 ,Europe,0
31,Ukraine,19230,354,564 ,16,5955,12711,245,439,13,248529,5679,43762271 ,Europe,4
32,Indonesia,19189,693,1242 ,21,4575,13372,0,70,5,211883,776,273184442 ,Asia,8
33,South Africa,18003,803,339 ,27,8950,8714,119,304,6,506861,8559,59220176 ,Africa,-3
34,Kuwait,17568,804,124 ,3,4885,12559,167,4121,29,256314,60125,4263020 ,Asia,-23
35,Romania,17387,196,1147 ,10,10356,5884,198,903,60,332487,17271,19251572 ,Europe,-7
36,Colombia,16935,0,613 ,0,4050,12272,136,333,12,201808,3971,50819268 ,South America,-21
37,Israel,16667,8,279 ,1,13504,2884,48,1929,32,522632,60495,8639287 ,Asia,-2
38,Japan,16367,0,768 ,0,11564,4035,213,129,6,255675,2021,126519062 ,Asia,-2
39,Austria,16353,32,633 ,1,14882,838,37,1817,70,379592,42175,9000506 ,Europe,-18
4,Brazil,275382,3497,18130 ,147,106794,150458,8318,1297,85,735224,3462,212385054 ,South America,78
40,Egypt,14229,745,680 ,21,3994,9555,41,139,7,135000,1322,102099285 ,Africa,18
41,Dominican Republic,13477,254,446 ,5,7142,5889,126,1244,41,59976,5535,10835186 ,North America,-9
42,Philippines,13221,279,842 ,5,2932,9447,81,121,8,244800,2237,109407875 ,Asia,-2
43,Denmark,11117,73,554 ,3,9536,1027,25,1920,96,490782,84765,5789887 ,Europe,-3
44,S. Korea,11110,32,263 ,0,10066,781,15,217,5,776433,15146,51264240 ,Asia,0
45,Serbia,10833,100,235 ,1,5067,5531,13,1239,27,196881,22523,8741226 ,Europe,-2
46,Panama,9867,0,281 ,0,6194,3392,72,2291,65,51815,12032,4306610 ,North America,-3
47,Argentina,8809,0,394 ,1,2933,5482,154,195,9,112370,2489,45147454 ,South America,-5
48,Czechia,8698,51,304 ,2,5818,2576,36,812,28,372341,34776,10706744 ,Europe,-9
49,Norway,8281,14,234 ,1,32,8015,17,1529,43,223045,41180,5416333 ,Europe,-4
5,UK,248818,0,35704 ,363,N/A,N/A,1559,3667,526,2962227,43662,67845213 ,Europe,-767
50,Afghanistan,8145,492,187 ,9,930,7028,19,210,5,25700,662,38819750 ,Asia,9
51,Bahrain,7888,356,12 ,0,3568,4308,9,4657,7,255633,150920,1693829 ,Asia,-5
52,Algeria,7542,165,568 ,7,3968,3006,22,172,13,0,0,43754940 ,Africa,7
53,Morocco,7133,110,194 ,1,4098,2841,1,194,5,104915,2846,36858953 ,Africa,-5
54,Australia,7079,11,100 ,0,6444,535,9,278,4,1111567,43651,25465024 ,Australia/Oceania,-1
55,Malaysia,7009,31,114 ,0,5706,1189,11,217,4,471318,14584,32316866 ,Asia,-1
56,Kazakhstan,6969,218,35 ,0,3649,3285,31,372,2,571547,30482,18750200 ,Asia,-1
57,Moldova,6553,213,228 ,7,2953,3372,251,1624,57,40565,10053,4034998 ,Europe,7
58,Finland,6443,44,304  ,3,5000,1139,20,1163,55,156200,28196,5539752 ,Europe,2
59,Nigeria,6401,0,192 ,0,1734,4475,7,31,0.9,36899,180,205500163 ,Africa,-1
6,Italy,227364,665,32330 ,161,132282,62752,676,3760,535,3171719,52450,60471682 ,Europe,-384
60,Ghana,6096,0,31 ,0,1773,4292,8,197,1,184343,5948,30993199 ,Africa,-4
61,Oman,6043,372,29 ,2,1661,4353,31,1187,6,72000,14144,5090324 ,Asia,0
62,Armenia,5271,230,67 ,3,2419,2785,10,1779,23,44071,14876,2962619 ,Asia,1
63,Bolivia,4481,218,189 ,15,533,3759,3,385,16,14803,1270,11654083 ,South America,12
64,Luxembourg,3971,13,109 ,0,3728,134,6,6356,174,64018,102469,624752 ,Europe,-5
65,Iraq,3724,113,134 ,3,2438,1152,0,93,3,149701,3732,40110732 ,Asia,1
66,Azerbaijan,3631,113,43 ,2,2253,1335,46,358,4,245609,24249,10128537 ,Asia,-2
67,Hungary,3598,42,470 ,3,1454,1674,29,372,49,142729,14771,9663057 ,Europe,-2
68,Cameroon,3529,0,140 ,0,1567,1822,28,133,5,0,0,26463124 ,Africa,0
69,Thailand,3034,1,56 ,0,2888,90,61,43,0.8,328073,4702,69780195 ,Asia,-1
7,France,181575,766,28132 ,110,63354,90089,1794,2782,431,1384633,21218,65257220 ,Europe,-52
70,Honduras,2955,157,147 ,1,349,2459,13,299,15,10775,1090,9885675 ,North America,1
71,Uzbekistan,2939,84,13 ,0,2372,554,6,88,0.4,460000,13768,33411286 ,Asia,-2
72,Guinea,2863,0,18 ,0,1525,1320,18,219,1,10304,787,13087736 ,Africa,0
73,Greece,2850,10,166 ,1,1374,1310,22,273,16,139445,13371,10428608 ,Europe,1
74,Sudan,2728,0,111 ,0,286,2331,0,62,3,281,6,43721964 ,Africa,-4
75,Senegal,2714,97,30 ,0,1186,1498,6,163,2,24599,1474,16688310 ,Africa,-6
76,Bosnia and Herzegovina,2338,17,136 ,2,1557,645,4,712,41,55624,16943,3283031 ,Europe,-2
77,Bulgaria,2292,33,116 ,4,684,1492,33,330,17,68243,9813,6954080 ,Europe,3
78,Croatia,2234,2,96 ,0,1978,160,8,544,23,57021,13880,4108012 ,Europe,-2
79,Ivory Coast,2153,0,28 ,0,1050,1075,0,82,1,19174,729,26296533 ,Africa,-1
8,Germany,178344,517,8230 ,37,156900,13214,1045,2129,98,3595059,42924,83753585 ,Europe,37
80,Tajikistan,2140,204,41 ,0,641,1458,0,225,4,0,0,9511117 ,Asia,0
81,Guatemala,2133,132,43 ,5,155,1935,5,119,2,20820,1165,17875264 ,North America,2
82,Cuba,1900,13,79 ,0,1573,248,8,168,7,87288,7706,11327386 ,North America,0
83,North Macedonia,1858,19,110 ,4,1367,381,21,892,53,22767,10928,2083384 ,Europe,4
84,Djibouti,1828,210,9 ,2,1052,767,0,1853,9,20056,20335,986284 ,Africa,0
85,Iceland,1803,1,10 ,0,1789,4,0,5288,29,57628,169003,340988 ,Europe,0
86,Estonia,1794,3,64 ,0,956,774,2,1352,48,72464,54631,1326435 ,Europe,0
87,DRC,1731,102,61 ,0,302,1368,0,19,0.7,0,0,89211817 ,Africa,0
88,Lithuania,1577,15,60 ,0,1049,468,17,578,22,245580,90080,2726257 ,Europe,0
89,Somalia,1573,71,61 ,2,188,1324,2,99,4,0,0,15836937 ,Africa,1
9,Turkey,152587,972,4222 ,23,113987,34378,877,1811,50,1696355,20139,84232553 ,Asia,-47
90,El Salvador,1571,73,31 ,1,531,1009,27,242,5,62838,9694,6482464 ,North America,1
91,New Zealand,1503,0,21 ,0,1447,35,1,312,4,238725,49552,4817692 ,Australia/Oceania,-2
92,Gabon,1502,0,12 ,0,318,1172,9,677,5,7966,3590,2219197 ,Africa,-1
93,Slovakia,1496,1,28 ,0,1231,237,3,274,5,148845,27264,5459346 ,Europe,0
94,Mayotte,1475,105,19 ,1,894,562,11,5423,70,5200,19118,271994 ,Africa,1
95,Slovenia,1468,1,105 ,1,1340,23,4,706,51,73319,35268,2078906 ,Europe,1
96,Kyrgyzstan,1270,27,14 ,0,910,346,5,195,2,94441,14504,6511224 ,Asia,0
97,Maldives,1186,43,4 ,0,91,1091,9,2199,7,11775,21830,539391 ,Asia,0
98,Hong Kong,1056,0,4 ,0,1026,26,1,141,0.5,168291,22469,7489929 ,Asia,0
99,Tunisia,1044,1,47 ,1,826,171,3,88,4,41620,3526,11804125 ,Africa,1
